bulletin,latitude,longitude,direction_deg,speed_kt,speed_m_s,temperature_c,d2T_dx2_K_m-2,d2T_dy2_K_m-2,laplacian_K_m-2,coriolis_s-1,eta_temperature_K_m-1_s-1
FBSA23,-20.0,-85.0,290,37,18.5,-33,nan,0.0,nan,-4.92509006388963e-05,nan
FBSA23,-20.0,-80.0,300,46,23.0,-33,3.305785123966942e-12,0.0,3.305785123966942e-12,-4.92509006388963e-05,-6.577888687235596e-07
FBSA23,-20.0,-75.0,300,60,30.0,-32,-3.305785123966942e-12,0.0,-3.305785123966942e-12,-4.92509006388963e-05,6.577888687235596e-07
FBSA23,-20.0,-70.0,280,48,24.0,-32,3.305785123966942e-12,3.305785123966942e-12,6.611570247933884e-12,-4.92509006388963e-05,-1.3155777374471192e-06
FBSA23,-20.0,-65.0,270,46,23.0,-31,-6.611570247933884e-12,-6.611570247933884e-12,-1.3223140495867768e-11,-4.92509006388963e-05,2.6311554748942385e-06
FBSA23,-25.0,-85.0,300,15,7.5,-35,nan,nan,nan,-6.085702969066072e-05,nan
FBSA23,-25.0,-80.0,280,23,11.5,-35,3.305785123966942e-12,nan,nan,-6.085702969066072e-05,nan
FBSA23,-25.0,-75.0,290,42,21.0,-34,0.0,nan,nan,-6.085702969066072e-05,nan
FBSA23,-25.0,-70.0,290,52,26.0,-33,-6.611570247933884e-12,nan,nan,-6.085702969066072e-05,nan
FBSA23,-25.0,-65.0,270,52,26.0,-34,3.305785123966942e-12,nan,nan,-6.085702969066072e-05,nan
FBSA21,-5.0,-60.0,130,10,5.0,-29,3.305785123966942e-12,0.0,3.305785123966942e-12,-1.2550426955662777e-05,nan
FBSA21,-5.0,-55.0,50,10,5.0,-29,0.0,0.0,0.0,-1.2550426955662777e-05,nan
FBSA21,-5.0,-50.0,110,4,2.0,-29,0.0,0.0,0.0,-1.2550426955662777e-05,nan
FBSA21,-5.0,-45.0,80,10,5.0,-29,0.0,0.0,0.0,-1.2550426955662777e-05,nan
FBSA21,-5.0,-40.0,140,6,3.0,-29,0.0,-3.305785123966942e-12,-3.305785123966942e-12,-1.2550426955662777e-05,nan
FBSA21,-5.0,-35.0,330,4,2.0,-29,nan,nan,nan,-1.2550426955662777e-05,nan
FBSA21,-10.0,-60.0,210,8,4.0,-29,0.0,-3.305785123966942e-12,-3.305785123966942e-12,-2.500533758403797e-05,1.2955911555281821e-06
FBSA21,-10.0,-55.0,250,8,4.0,-29,0.0,-3.305785123966942e-12,-3.305785123966942e-12,-2.500533758403797e-05,1.2955911555281821e-06
FBSA21,-10.0,-50.0,290,6,3.0,-29,0.0,-3.305785123966942e-12,-3.305785123966942e-12,-2.500533758403797e-05,1.2955911555281821e-06
FBSA21,-10.0,-45.0,20,2,1.0,-29,-3.305785123966942e-12,0.0,-3.305785123966942e-12,-2.500533758403797e-05,1.2955911555281821e-06
FBSA21,-10.0,-40.0,70,2,1.0,-30,3.305785123966942e-12,3.305785123966942e-12,6.611570247933884e-12,-2.500533758403797e-05,-2.5911823110563643e-06
FBSA21,-10.0,-35.0,50,0,0.0,-30,nan,3.305785123966942e-12,nan,-2.500533758403797e-05,nan
FBSA21,-15.0,-60.0,260,23,11.5,-30,0.0,-3.305785123966942e-12,-3.305785123966942e-12,-3.7269942494762985e-05,8.692445452371781e-07
FBSA21,-15.0,-55.0,240,23,11.5,-30,0.0,0.0,0.0,-3.7269942494762985e-05,-0.0
FBSA21,-15.0,-50.0,270,25,12.5,-30,3.305785123966942e-12,-3.305785123966942e-12,0.0,-3.7269942494762985e-05,-0.0
FBSA21,-15.0,-45.0,260,19,9.5,-29,-6.611570247933884e-12,-3.305785123966942e-12,-9.917355371900826e-12,-3.7269942494762985e-05,2.6077336357115345e-06
FBSA21,-15.0,-40.0,310,12,6.0,-30,3.305785123966942e-12,0.0,3.305785123966942e-12,-3.7269942494762985e-05,-8.692445452371781e-07
FBSA21,-15.0,-35.0,330,2,1.0,-30,nan,0.0,nan,-3.7269942494762985e-05,nan
FBSA21,-20.0,-60.0,260,46,23.0,-32,6.611570247933884e-12,0.0,6.611570247933884e-12,-4.92509006388963e-05,-1.3155777374471192e-06
FBSA21,-20.0,-55.0,260,48,24.0,-31,-6.611570247933884e-12,-9.917355371900826e-12,-1.6528925619834712e-11,-4.92509006388963e-05,3.2889443436177987e-06
FBSA21,-20.0,-50.0,290,42,21.0,-32,9.917355371900826e-12,3.305785123966942e-12,1.3223140495867768e-11,-4.92509006388963e-05,-2.6311554748942385e-06
FBSA21,-20.0,-45.0,290,35,17.5,-30,-6.611570247933884e-12,-6.611570247933884e-12,-1.3223140495867768e-11,-4.92509006388963e-05,2.6311554748942385e-06
FBSA21,-20.0,-40.0,300,23,11.5,-30,0.0,-3.305785123966942e-12,-3.305785123966942e-12,-4.92509006388963e-05,6.577888687235596e-07
FBSA21,-20.0,-35.0,300,19,9.5,-30,nan,-3.305785123966942e-12,nan,-4.92509006388963e-05,nan
FBSA21,-25.0,-60.0,270,56,28.0,-34,-3.305785123966942e-12,nan,nan,-6.085702969066072e-05,nan
FBSA21,-25.0,-55.0,270,50,25.0,-35,9.917355371900826e-12,nan,nan,-6.085702969066072e-05,nan
FBSA21,-25.0,-50.0,290,54,27.0,-33,-6.611570247933884e-12,nan,nan,-6.085702969066072e-05,nan
FBSA21,-25.0,-45.0,290,50,25.0,-33,6.611570247933884e-12,nan,nan,-6.085702969066072e-05,nan
FBSA21,-25.0,-40.0,290,54,27.0,-31,-6.611570247933884e-12,nan,nan,-6.085702969066072e-05,nan
FBSA21,-25.0,-35.0,290,39,19.5,-31,nan,nan,nan,-6.085702969066072e-05,nan
